"","tnr.test.mean","tpr.test.mean","acc.test.mean","tp.test.mean","fp.test.mean","tn.test.mean","fn.test.mean","ppv.test.mean","f1.test.mean","mmce.test.mean","tnr_train","tpr_train","acc_train","tp_train","fp_train","tn_train","fn_train","ppv_train","f1_train","mmce_train","best_k","predictors","num_predictors"
"4670",0.335714285714286,0.941095890410959,0.84367816091954,68.7,9.3,4.7,4.3,0.881402676288394,0.909962673675188,0.15632183908046,0.657142857142857,0.971232876712329,0.920689655172414,709,48,92,21,0.936591809775429,0.95359784801614,0.0793103448275862,1,"OverTime StockOptionLevel JobLevelB JobSatisfaction JobInvolvementB NumCompaniesWorkedB Education",7
"4681",0.335714285714286,0.946575342465753,0.848275862068966,69.1,9.3,4.7,3.9,0.881769676344987,0.912776489933875,0.151724137931034,0.514285714285714,0.96986301369863,0.896551724137931,708,68,72,22,0.912371134020619,0.940239043824701,0.103448275862069,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB NumCompaniesWorkedB Education WorkLifeBalanceB",7
"6343",0.335714285714286,0.938356164383562,0.841379310344828,68.5,9.3,4.7,4.5,0.880721223427038,0.908361486626141,0.158620689655172,0.514285714285714,0.968493150684931,0.895402298850575,707,68,72,23,0.912258064516129,0.93953488372093,0.104597701149425,1,"OverTime StockOptionLevel JobLevelB MaritalStatus NumCompaniesWorkedB EnviornmentSatisfactionB Education WorkLifeBalanceB",8
"437",0.328571428571429,0.952054794520548,0.851724137931035,69.5,9.4,4.6,3.5,0.880960778269861,0.915010567073689,0.148275862068966,0.357142857142857,0.964383561643836,0.866666666666667,704,90,50,26,0.886649874055416,0.923884514435696,0.133333333333333,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB",4
"525",0.328571428571429,0.919178082191781,0.824137931034483,67.1,9.4,4.6,5.9,0.877816835201755,0.89742754640385,0.175862068965517,0.585714285714286,0.968493150684931,0.906896551724138,707,58,82,23,0.924183006535948,0.945819397993311,0.0931034482758621,1,"OverTime MaritalStatus YearsAtCompany Education",4
"1264",0.328571428571429,0.952054794520548,0.851724137931035,69.5,9.4,4.6,3.5,0.881552340818136,0.915072568705532,0.148275862068966,0.442857142857143,0.961643835616438,0.87816091954023,702,78,62,28,0.9,0.929801324503311,0.12183908045977,1,"OverTime StockOptionLevel JobLevelB MaritalStatus Education",5
"1396",0.328571428571429,0.956164383561644,0.855172413793103,69.8,9.4,4.6,3.2,0.881377830444286,0.917184994571991,0.144827586206897,0.378571428571429,0.963013698630137,0.868965517241379,703,87,53,27,0.889873417721519,0.925,0.131034482758621,1,"OverTime JobLevelB MaritalStatus JobInvolvementB NumCompaniesWorkedB",5
"1497",0.328571428571429,0.935616438356164,0.837931034482759,68.3,9.4,4.6,4.7,0.879477112244248,0.906471424226257,0.162068965517241,0.635714285714286,0.978082191780822,0.922988505747126,714,51,89,16,0.933333333333333,0.955183946488294,0.0770114942528736,1,"OverTime MaritalStatus YearsAtCompany Education WorkLifeBalanceB",5
"2728",0.328571428571429,0.947945205479452,0.848275862068965,69.2,9.4,4.6,3.8,0.880977257959714,0.912986088410486,0.151724137931034,0.471428571428571,0.956164383561644,0.87816091954023,698,74,66,32,0.904145077720207,0.929427430093209,0.12183908045977,1,"OverTime StockOptionLevel JobLevelB MaritalStatus JobInvolvementB NumCompaniesWorkedB",6
"2776",0.328571428571429,0.934246575342466,0.836781609195402,68.2,9.4,4.6,4.8,0.879872545048776,0.905599419803386,0.163218390804598,0.628571428571429,0.961643835616438,0.908045977011494,702,52,88,28,0.931034482758621,0.946091644204852,0.0919540229885057,1,"OverTime StockOptionLevel JobLevelB JobSatisfaction JobInvolvementB Education",6
